Functions,X,Y,Z,3D index
acoustic,2.84E+00,9.92E+00,2.49E+00,0.83847
action,-2.60E+00,1.20E+01,-6.15E-01,0.35548
action_observation,-2.61E+00,1.21E+01,-7.33E-01,0.3524
actions,-2.65E+00,1.22E+01,-6.67E-01,0.33717
addition,-2.78E+00,1.29E+01,1.79E+00,-0.00011
affective,-1.93E+00,1.18E+01,6.08E+00,0.59137
ambiguous,-2.14E+00,1.38E+01,1.85E+00,0.18465
anger,-2.36E+00,1.21E+01,4.97E+00,0.3451
angry,-1.94E+00,1.19E+01,6.03E+00,0.61286
anticipation,-6.11E+00,1.16E+01,4.99E+00,0.71039
anticipatory,-3.62E+00,1.26E+01,2.45E+00,-0.00024
anxiety,-2.05E+00,1.19E+01,5.68E+00,0.5766
appraisal,-3.70E+00,1.24E+01,2.95E+00,-0.00021
arithmetic,-1.32E+00,1.21E+01,1.11E+00,0.29128
arm,-3.29E+00,1.12E+01,1.62E+00,0.18595
arousal,-2.24E+00,1.20E+01,5.21E+00,0.40643
articulatory,2.15E+00,1.02E+01,2.44E+00,0.29715
association,-3.32E+00,1.29E+01,2.09E+00,-0.00011
associations,-3.30E+00,1.35E+01,2.64E+00,0.05046
associative,-3.47E+00,1.41E+01,2.99E+00,0.19295
attend,-2.91E+00,1.26E+01,8.84E-01,-0.00025
attended,-2.73E+00,1.24E+01,7.69E-01,0.05365
attending,-3.19E+00,1.19E+01,1.13E+00,-0.00024
attention,-1.81E+00,1.14E+01,5.40E-01,0.54382
attention_task,-3.20E+00,1.22E+01,1.72E+00,-0.00022
attentional,-1.67E+00,1.16E+01,6.91E-01,0.27788
attentional_control,-2.02E+00,1.20E+01,2.16E+00,0.14312
audiovisual,2.54E+00,1.00E+01,2.32E+00,0.64932
auditory,3.00E+00,9.85E+00,2.42E+00,0.93184
auditory_stimuli,2.32E+00,1.01E+01,2.29E+00,0.59869
auditory_visual,2.20E+00,1.02E+01,2.37E+00,0.52556
autobiographical,-3.59E+00,1.50E+01,3.07E+00,0.53361
autobiographical_memory,-3.64E+00,1.49E+01,3.02E+00,0.49655
autonomic,-3.60E+00,1.19E+01,3.03E+00,0.02404
aversive,-1.99E+00,1.19E+01,5.87E+00,0.48935
avoid,-3.98E+00,1.21E+01,2.86E+00,-0.00016
avoidance,-5.16E+00,1.20E+01,3.84E+00,0.26
awareness,-3.84E+00,1.24E+01,2.55E+00,-0.00016
belief,-4.43E+00,1.34E+01,1.67E+00,0.30401
beliefs,-4.56E+00,1.35E+01,1.73E+00,0.40478
bias,-3.31E+00,1.25E+01,3.13E+00,-0.00014
binding,-3.44E+00,1.36E+01,2.72E+00,0.09544
body,-2.74E+00,1.25E+01,-6.72E-01,0.38093
calculation,-1.28E+00,1.21E+01,1.14E+00,0.36336
capacity,-2.43E+00,1.22E+01,1.11E+00,0.04468
capture,-2.94E+00,1.27E+01,1.70E+00,-0.00016
categories,-2.67E+00,1.36E+01,6.82E-01,0.14158
categorization,-2.89E+00,1.28E+01,1.44E+00,-0.00015
category,-2.55E+00,1.35E+01,-4.18E-02,0.23401
choice,-4.52E+00,1.21E+01,3.41E+00,0.27893
choices,-5.71E+00,1.18E+01,4.37E+00,0.41682
choose,-5.11E+00,1.20E+01,3.79E+00,0.13682
cognitive_control,-1.77E+00,1.25E+01,1.93E+00,0.08766
cognitive_emotional,-2.68E+00,1.28E+01,2.51E+00,-0.00036
coherence,-3.46E+00,1.28E+01,2.23E+00,-0.00014
color,-1.87E+00,1.33E+01,1.32E+00,0.13081
communication,-3.96E+00,1.26E+01,1.52E+00,-0.00032
competing,-1.96E+00,1.32E+01,1.80E+00,0.02541
competition,-2.15E+00,1.23E+01,2.13E+00,0.03526
comprehension,-8.42E-01,1.49E+01,1.19E+00,0.51501
concept,-3.80E+00,1.27E+01,2.07E+00,-0.00017
concepts,-2.75E+00,1.38E+01,1.49E+00,0.00323
conceptual,-2.54E+00,1.39E+01,1.45E+00,0.07123
conditioned,-2.17E+00,1.21E+01,5.38E+00,0.32609
conditioning,-1.98E+00,1.20E+01,5.75E+00,0.4096
conflict,-1.96E+00,1.21E+01,2.21E+00,0.19114
conflicting,-1.75E+00,1.34E+01,1.66E+00,0.16386
congruency,-1.88E+00,1.33E+01,1.75E+00,0.02571
congruent,-1.92E+00,1.36E+01,1.27E+00,0.09782
congruent_incongruent,-2.54E+00,1.32E+01,1.58E+00,0.00899
conscious,-2.89E+00,1.24E+01,3.79E+00,0.00153
consciousness,-3.55E+00,1.28E+01,1.75E+00,0.00246
consolidation,-3.38E+00,1.40E+01,2.92E+00,0.09551
context,-2.85E+00,1.32E+01,2.35E+00,-0.00014
contexts,-3.05E+00,1.30E+01,2.41E+00,-0.00025
contextual,-3.29E+00,1.40E+01,2.74E+00,0.11226
control_processes,-1.76E+00,1.27E+01,1.73E+00,0.07168
coordination,-2.88E+00,1.02E+01,1.56E+00,0.5305
covert,-2.49E+00,1.20E+01,1.19E+00,0.01791
craving,-4.66E+00,1.21E+01,3.51E+00,0.19639
cue,-2.51E+00,1.22E+01,1.21E+00,0.01685
cued,-2.17E+00,1.20E+01,1.47E+00,0.02466
cues,-5.00E+00,1.21E+01,3.69E+00,0.32055
decision,-5.57E+00,1.19E+01,4.22E+00,0.43041
decision_making,-5.72E+00,1.18E+01,4.37E+00,0.49263
decision_task,-2.13E+00,1.40E+01,9.51E-01,0.22406
decisions,-5.43E+00,1.19E+01,4.07E+00,0.33426
decoding,-3.11E+00,1.30E+01,1.28E+00,-0.00028
default_mode,-4.43E+00,1.39E+01,1.96E+00,0.3613
default_network,-4.38E+00,1.39E+01,1.95E+00,0.28206
delay,-5.35E+00,1.20E+01,4.01E+00,0.43836
delayed,-2.80E+00,1.19E+01,1.91E+00,0.00733
demand,-2.36E+00,1.21E+01,1.10E+00,0.09148
demanding,-2.47E+00,1.22E+01,1.34E+00,0.0018
demands,-1.15E+00,1.26E+01,1.40E+00,0.35811
depth,-2.68E+00,1.18E+01,1.08E+00,0.0112
detect,-3.50E+00,1.25E+01,2.02E+00,-0.00013
detected,-3.44E+00,1.20E+01,2.14E+00,-0.00018
detecting,-2.60E+00,1.25E+01,1.76E+00,0.00607
detection,-3.02E+00,1.25E+01,1.91E+00,-0.00009
detection_task,-2.95E+00,1.24E+01,1.83E+00,-0.00028
digit,-2.28E+00,1.23E+01,1.11E+00,0.02101
discrimination,-3.54E+00,1.24E+01,1.28E+00,-0.00017
discrimination_task,-3.32E+00,1.24E+01,1.45E+00,-0.00019
discriminative,-3.33E+00,1.12E+01,2.99E+00,0.23648
disgust,-2.11E+00,1.19E+01,5.75E+00,0.4492
distraction,-3.02E+00,1.25E+01,2.67E+00,-0.00031
distractor,-3.48E+00,1.16E+01,1.72E+00,-0.00018
distractors,-2.04E+00,1.21E+01,2.19E+00,0.10016
dorsal_attention,-3.84E+00,1.27E+01,1.39E+00,0.00273
early_visual,-2.91E+00,1.24E+01,-1.01E-01,0.15706
eating,-3.14E+00,1.23E+01,3.55E+00,0.01294
economic,-5.21E+00,1.20E+01,3.88E+00,0.3671
effort,-2.73E+00,1.20E+01,2.03E+00,0.00379
effortful,-2.96E+00,1.22E+01,2.12E+00,-0.00044
emotion,-1.97E+00,1.18E+01,6.27E+00,0.71347
emotion_regulation,-2.25E+00,1.20E+01,5.24E+00,0.33081
emotional,-2.01E+00,1.18E+01,6.26E+00,0.76892
emotional_faces,-2.13E+00,1.20E+01,5.50E+00,0.45228
emotional_information,-2.51E+00,1.22E+01,4.69E+00,0.23333
emotional_responses,-2.69E+00,1.22E+01,4.19E+00,0.16457
emotional_stimuli,-2.05E+00,1.19E+01,5.78E+00,0.628
emotional_valence,-2.64E+00,1.22E+01,4.46E+00,0.29289
emotions,-1.99E+00,1.19E+01,5.92E+00,0.58383
empathic,-3.80E+00,1.21E+01,1.70E+00,-0.00038
empathy,-4.00E+00,1.23E+01,1.63E+00,-0.0005
encode,-3.50E+00,1.23E+01,2.61E+00,-0.00024
encoded,-3.20E+00,1.37E+01,2.00E+00,-0.00027
encoding,-3.40E+00,1.48E+01,3.05E+00,0.43718
