Functions,X,Y,index,,,
acoustic,5.895012,9.990553,0.82705,,,
action,3.184484,5.868778,0.4146,,,
action_observation,3.031134,6.145448,0.35799,,,
actions,3.111799,6.042097,0.36911,,,
addition,0.763254,3.947737,-0.00011,,,
affective,1.730792,-0.997787,0.58615,,,
ambiguous,-0.189684,5.323229,0.21621,,,
anger,1.390702,0.109262,0.34162,,,
angry,1.807083,-1.140822,0.61369,,,
anticipation,-1.922669,-0.081807,0.69837,,,
anticipatory,0.480443,3.037718,0.0044,,,
anxiety,1.697832,-0.847799,0.58166,,,
appraisal,0.283161,2.153271,-0.00022,,,
arithmetic,2.073586,4.95394,0.23745,,,
arm,2.19721,2.925339,0.18292,,,
arousal,1.466843,-0.076906,0.40486,,,
articulatory,5.03268,9.485487,0.28904,,,
association,0.228788,3.161762,-0.00019,,,
associations,-0.506369,4.039494,0.03656,,,
associative,-1.214193,4.376303,0.17284,,,
attend,1.524623,4.12084,0.00507,,,
attended,2.02796,4.194256,0.08721,,,
attending,1.679136,3.35938,-0.0002,,,
attention,2.951899,4.563088,0.477,,,
attention_task,1.015992,3.479768,-0.00027,,,
attentional,2.721544,4.636802,0.26199,,,
attentional_control,1.020614,4.282537,0.02787,,,
audiovisual,5.519437,9.839102,0.65392,,,
auditory,5.995111,10.028889,0.91674,,,
auditory_stimuli,5.341964,9.77596,0.58359,,,
auditory_visual,5.136979,9.602201,0.52341,,,
autobiographical,-1.843862,4.384166,0.53491,,,
autobiographical_memory,-1.83685,4.285206,0.498,,,
autonomic,0.979671,1.89482,0.02628,,,
aversive,1.6401,-0.892555,0.49772,,,
avoid,0.049561,2.277643,-0.00016,,,
avoidance,-1.152637,1.106004,0.26261,,,
awareness,0.425413,2.502069,-0.0002,,,
belief,-0.892123,2.994705,0.2926,,,
beliefs,-0.954589,2.978565,0.37238,,,
bias,0.553129,2.036878,-0.00014,,,
binding,-0.647195,4.010255,0.05756,,,
body,2.802549,6.296515,0.32342,,,
calculation,2.039304,4.976642,0.30432,,,
capacity,1.777246,4.108193,0.03591,,,
capture,1.210023,3.465633,-0.00016,,,
categories,0.917313,5.823572,0.06265,,,
categorization,0.701876,3.227766,-0.00019,,,
category,1.315345,6.322223,0.13947,,,
choice,-0.597014,1.473595,0.28034,,,
choices,-1.587889,0.513968,0.40614,,,
choose,-1.2134,1.190302,0.13537,,,
cognitive_control,1.130376,4.75268,0.05749,,,
cognitive_emotional,0.383043,3.598183,0.00203,,,
coherence,0.021323,3.440966,-0.00036,,,
color,0.616851,5.417295,0.1288,,,
communication,-0.124597,2.86951,-0.00053,,,
competing,0.712541,4.656213,0.00687,,,
competition,0.660831,4.326413,-0.00021,,,
comprehension,-0.687396,6.921935,0.51182,,,
concept,0.31144,3.190829,-0.00014,,,
concepts,-0.061777,5.106415,0.04508,,,
conceptual,-0.183095,5.443564,0.16723,,,
conditioned,1.461198,-0.203139,0.3264,,,
conditioning,1.655395,-0.733496,0.41154,,,
conflict,1.030587,4.542101,0.08124,,,
conflicting,0.505071,5.073839,0.09605,,,
congruency,0.608382,5.039994,0.02227,,,
congruent,0.506686,5.390196,0.07539,,,
congruent_incongruent,0.418009,4.650356,-0.00021,,,
conscious,0.901057,1.321406,0.00523,,,
consciousness,0.525537,3.378832,-0.00024,,,
consolidation,-0.952629,4.281252,0.08495,,,
context,0.065438,4.014513,-0.00013,,,
contexts,0.278097,3.574435,-0.00025,,,
contextual,-0.744444,4.270219,0.09036,,,
control_processes,1.089713,4.833815,0.05065,,,
coordination,3.34147,2.842232,0.52177,,,
covert,2.201051,3.880634,0.0514,,,
craving,-0.711326,1.397529,0.19692,,,
cue,1.869031,3.901722,0.04592,,,
cued,1.514576,4.326705,0.02056,,,
cues,-1.076229,1.240248,0.31887,,,
decision,-1.522562,0.736011,0.43681,,,
decision_making,-1.700104,0.492795,0.4875,,,
decision_task,0.349242,6.122693,0.21207,,,
decisions,-1.324831,0.79939,0.33808,,,
decoding,0.379818,4.80832,-0.00042,,,
default_mode,-1.325622,3.428991,0.35951,,,
default_network,-1.274597,3.442629,0.28959,,,
delay,-1.171633,0.941103,0.45257,,,
delayed,1.458357,3.518831,-0.00012,,,
demand,1.91717,4.299119,0.1138,,,
demanding,1.338797,3.959266,-0.00028,,,
demands,1.545978,5.259019,0.25262,,,
depth,2.030961,3.85269,0.00792,,,
detect,0.836397,3.052413,-0.00015,,,
detected,1.211685,2.915018,-0.00016,,,
detecting,0.705457,4.050088,-0.00019,,,
detection,1.011988,3.117808,-0.0001,,,
detection_task,1.077967,3.343723,-0.00027,,,
digit,1.785991,4.349335,0.0224,,,
discrimination,1.142105,3.440507,0.00505,,,
discrimination_task,1.199883,3.511348,-0.00019,,,
discriminative,1.686725,1.816037,0.19696,,,
disgust,1.640501,-0.675973,0.44864,,,
distraction,0.702015,2.711626,0.00389,,,
distractor,1.763542,2.976773,0.02145,,,
distractors,0.880058,4.3837,0.04134,,,
dorsal_attention,0.081084,2.938892,0.0039,,,
early_visual,2.545737,5.854309,0.14522,,,
eating,0.80969,1.20272,0.05139,,,
economic,-1.24925,1.032537,0.3746,,,
effort,1.081273,3.913807,-0.00028,,,
effortful,0.85208,3.655223,0.00651,,,
emotion,2.036271,-1.336775,0.70026,,,
emotion_regulation,1.460338,-0.116956,0.33578,,,
emotional,1.997485,-1.294371,0.75586,,,
emotional_faces,1.586094,-0.512592,0.44621,,,
emotional_information,1.238992,0.37201,0.22383,,,
emotional_responses,1.148272,0.838087,0.17055,,,
emotional_stimuli,1.676418,-0.826945,0.63027,,,
emotional_valence,1.115063,0.546093,0.28165,,,
emotions,1.823803,-0.977183,0.58066,,,
empathic,0.176418,2.72285,-0.00035,,,
empathy,-0.129497,2.682881,0.03055,,,
encode,0.655364,2.465113,-0.00026,,,
encoded,-0.198806,4.493259,-0.00036,,,
encoding,-1.695272,4.602658,0.40322,,,
encoding_retrieval,-1.414863,4.487801,0.24973,,,
endogenous,1.464017,3.423027,-0.00019,,,
episodic,-1.953425,4.610252,0.6814,,,
episodic_memory,-1.871298,4.5732,0.57404,,,
error,0.888778,4.310565,0.01674,,,
errors,0.670399,4.212897,-0.00025,,,
estimation,0.32062,2.593304,0.0118,,,
executive_control,1.350189,3.835115,0.0023,,,
executive_function,0.80825,3.929685,-0.00021,,,
executive_functions,0.563497,4.419031,-0.00025,,,
expectancy,0.562948,3.713116,0.00156,,,
expectation,0.374307,2.389481,-0.00023,,,
expectations,-0.532549,1.551975,0.147,,,
explicit,-0.10214,3.473191,-0.00019,,,
exploration,0.884152,3.156786,-0.00029,,,
expression,1.340839,0.313311,0.38563,,,
expressions,1.950281,-1.220347,0.66586,,,
eye,3.329164,4.598372,0.58658,,,
eye_field,3.237668,4.432282,0.39414,,,
eye_fields,3.305665,4.54261,0.53581,,,
eye_movement,2.158212,3.88658,0.07235,,,
eye_movements,3.27856,4.639627,0.53257,,,
eyes,0.945032,3.773556,-0.00028,,,
face,2.41889,-1.116103,0.24859,,,
face_recognition,1.424771,6.274646,0.06063,,,
faces,2.255027,-1.175465,0.43594,,,
facial,1.952494,-1.221119,0.65461,,,
facial_expression,1.289104,0.573382,0.23258,,,
facial_expressions,1.919284,-1.123642,0.65099,,,
familiar,0.991525,6.178445,0.17282,,,
